from type \ to type,5-HTPMPV03,AOTU053,AOTU065,AVLP151,AVLP534,Am1,C2,C3,CB0472,CB0566,CB0592,CB0816,CB3089,CB3790,CL104,CT1,DCH,DN1-l,DN1a,DNc01,DNc02,DNg33,DNp11,DNp27,DNp30,Dm1,Dm10,Dm11,Dm12,Dm13,Dm14,Dm15,Dm16,Dm17,Dm18,Dm19,Dm2,Dm20,Dm3p,Dm3q,Dm3v,Dm4,Dm6,Dm8a,Dm8b,Dm9,DmDRA1,DmDRA2,H1,H2,HSE,HSN,HSS,L1,L2,L3,L4,L5,LAL047,LC10a,LC10b,LC10c,LC10d,LC10e,LC10f,LC11,LC12,LC13,LC14a1,LC14a2,LC14b,LC15,LC16,LC17,LC18,LC19,LC20a,LC20b,LC21,LC22,LC24,LC25,LC26,LC27,LC28a,LC29,LC31a,LC31b,LC31c,LC33a,LC34,LC35,LC36,LC37a,LC39,LC4,LC40,LC41,LC43,LC44,LC45,LC46,LC6,LC9,LCe01,LCe01a,LCe01b,LCe02,LCe03,LCe04,LCe05,LCe06,LCe07,LCe08,LCe09,LHPV2i2a,LLPC1,LLPC2,LLPC3,LLPC4,LLPt,LMTe01,LMa1,LMa2,LMa3,LMa4,LMa5,LMt1,LMt2,LMt3,LMt4,LNda,LPC1,LPC2,LPLC1,LPLC2,LPLC4,LPT04_HST,LPT21,LPT22,LPT23,LPT26,LPT27,LPT28,LPT29,LPT30,LPT31,LPT42_Nod4,LPT45_dCal1,LPT47_vCal2,LPT48_vCal3,LPT49,LPT50,LPT51,LPT52,LPT53,LPT54,LPT57,LPT58,LPTe01,LPTe02,LPi01,LPi02,LPi03,LPi04,LPi05,LPi06,LPi07,LPi08,LPi09,LPi10,LPi11,LPi12,LPi13,LPi14,LPi15,LT11,LT1a,LT1b,LT1c,LT1d,LT33,LT34,LT36,LT37,LT38,LT39,LT40,LT41,LT42,LT43,LT47,LT51,LT52,LT53,LT55,LT56,LT57,LT58,LT59,LT60,LT61a,LT61b,LT62,LT63,LT64,LT65,LT66,LT67,LT68,LT69,LT70,LT72,LT73,LT74,LT75,LT76,LT77,LT78,LT79,LT80,LT81,LT82a,LT83,LT84,LT85,LT86,LT87,LTe01,LTe02,LTe03,LTe04,LTe05,LTe06,LTe07,LTe08,LTe09,LTe10,LTe11,LTe12,LTe13,LTe14,LTe15,LTe16,LTe17,LTe18,LTe19,LTe20,LTe21,LTe22,LTe23,LTe24,LTe25,LTe26,LTe27,LTe28,LTe29,LTe30,LTe31,LTe32,LTe33,LTe35,LTe36,LTe37,LTe38a,LTe38b,LTe38c,LTe40,LTe41,LTe42a,LTe42b,LTe42c,LTe43,LTe44,LTe45,LTe46,LTe47,LTe48,LTe49a,LTe49b,LTe49c,LTe49d,LTe49e,LTe49f,LTe50,LTe51,LTe52,LTe53,LTe54,LTe55,LTe56,LTe57,LTe58,LTe59,LTe60,LTe61,LTe62,LTe63,LTe64,LTe65,LTe66,LTe67,LTe68,LTe69,LTe70,LTe71,LTe72,LTe73,LTe74,LTe75,LTe76,Lai,Lat,Lawf1,Lawf2,Li01,Li02,Li03,Li04,Li05,Li06,Li07,Li08,Li09,Li10,Li11,Li12,Li13,Li14,Li15,Li16,Li17,Li18,Li19,Li20,Li21,Li22,Li23,Li24,Li25,Li26,Li27,Li28,Li29,Li30,Li31,Li32,Li33,MC65,MLt1,MLt2,MLt3,MLt4,MLt5,MLt6,MLt7,MLt8,MTe01a,MTe01b,MTe02,MTe03,MTe04,MTe05,MTe06,MTe07,MTe08,MTe09,MTe10,MTe11,MTe12,MTe13,MTe14,MTe15,MTe16,MTe17,MTe18,MTe19,MTe20,MTe21,MTe22,MTe23,MTe24,MTe25,MTe26,MTe27,MTe28,MTe29,MTe30,MTe31,MTe32,MTe33,MTe34,MTe35,MTe36,MTe37,MTe38,MTe39,MTe40,MTe41,MTe42,MTe43,MTe44,MTe45,MTe46,MTe47,MTe48,MTe49,MTe50,MTe51,MTe52,MTe53,MTe54,MeLp1,MeLp2,MeMe_e01,MeMe_e02,MeMe_e03,MeMe_e04,MeMe_e05,MeMe_e06,MeMe_e07,MeMe_e08,MeMe_e09,MeMe_e10,MeTu1,MeTu2a,MeTu2b,MeTu3a,MeTu3b,MeTu3c,MeTu4a,MeTu4b,MeTu4c,MeTu4d,Mi1,Mi10,Mi13,Mi14,Mi15,Mi2,Mi4,Mi9,Nod1,Nod2,Nod3,Nod5,OA-AL2b1,OA-AL2b2,OA-AL2i1,OA-AL2i2,OA-AL2i3,OA-AL2i4,OA-ASM1,PDt,PLP051,PLP068,PLP215,PLP251,Pm01,Pm02,Pm03,Pm04,Pm05,Pm06,Pm07,Pm08,Pm09,Pm10,Pm11,Pm12,Pm13,Pm14,R1-6,R7,R8,Sm01,Sm02,Sm03,Sm04,Sm05,Sm06,Sm07,Sm08,Sm09,Sm10,Sm11,Sm12,Sm13,Sm14,Sm15,Sm16,Sm17,Sm18,Sm19,Sm20,Sm21,Sm22,Sm23,Sm24,Sm25,Sm26,Sm27,Sm28,Sm29,Sm30,Sm31,Sm32,Sm33,Sm34,Sm35,Sm36,Sm37,Sm38,Sm39,Sm40,Sm41,Sm42,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tlp1,Tlp14,Tlp4,Tlp5,Tm1,Tm16,Tm2,Tm20,Tm21,Tm25,Tm27,Tm3,Tm31,Tm32,Tm33,Tm34,Tm35,Tm36,Tm37,Tm4,Tm5a,Tm5b,Tm5c,Tm5d,Tm5e,Tm5f,Tm7,Tm8a,Tm8b,Tm9,TmY10,TmY11,TmY14,TmY15,TmY16,TmY20,TmY3,TmY31,TmY4,TmY5a,TmY9q,TmY9q⊥,VCH,VS1,VS2,VS3,VS4,VS5,VS6,VS7,VS8,VST1,VST2,VSm,Y1,Y11,Y12,Y3,Y4,aMe1,aMe10,aMe12,aMe13,aMe15,aMe17a1,aMe17a2,aMe17b,aMe17c,aMe19a,aMe19b,aMe20,aMe22,aMe25,aMe26,aMe3,aMe4,aMe5,aMe6a,aMe8,aMe9,cL01,cL02a,cL02b,cL02c,cL02d,cL03,cL04,cL05,cL06,cL07,cL08,cL09,cL10,cL11,cL12,cL13,cL14,cL15,cL16,cL17,cL18,cL19,cL20,cL21,cL22a,cL22b,cL22c,cLLP02,cLLPM01,cLLPM02,cLM01,cLP01,cLP02,cLP03,cLP04,cLP05,cLPL01,cM01a,cM01b,cM01c,cM02a,cM02b,cM03,cM04,cM05,cM07,cM08a,cM08b,cM08c,cM09,cM10,cM12,cM13,cM14,cM15,cM16,cM17,cM18,cM19,cML01,cML02,cMLLP01,cMLLP02,l-LNv,mALC3,mALC4,mALC5,mALC6,mALD1,mALD2,s-LNva,vCal1
Sm23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,18,2,2,4,,,,,,,2,,,,,11,,2,6,,,,,2,3,,,,44,,,,,,,,,,,,,,,,,,,,,24,,,,,,,167,,26,2,,,,42,522,1111,2,7,1283,719,1111,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,56,,,61,34,8,3,42,2,4,,,4,10,953,4,,,,,122,,,,,,4,17,,,,12,2,2,,4,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,4,5,,,,,,,,,,14,,,,,,,,,,,,,,,,,4,,,,,,,,,,14,,2,5,10,,,,2,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm24,,,,,,,,,,94,,,,,,,,,,,,,,,,,,2,,14,,,,,,,14,,,,,,,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,97,2,,4,2,2,6,,,,,,,,,,,,4,,,2,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,10,16,4,,,14,50,,,,,2,103,18,200,,,,,15,4,,,,,2,,,2,,,,,,4,14,,,,,,,,,,,,,,,,,,,,,,,6,2,2,,,2,,4,,,5,6,,4,,10,6,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,3,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Sm25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,376,71,2,8,2,,22,2,,,,,,,,,,,,,,2,,,,,,,11,,,,,,,,,,,2,,,,,,,,,,4,,,,6,,,,,,,,34,,13,,,,,,6,130,,4,19,4,195,,21,,,,,,2,,,,,,,,,,,,,7,,,,,,,,,,,48,,,2,,,,,,,,,,,,7,17,4,5,657,34,2,7,,242,,,2,537,,,98,2,4,22,16,8,,4,10,14,,4,9,,10,2,,15,,30,9,12,16,,,6,95,,,,,,,,,,,,,,,,,8,2,,58,,2,38,,92,,,,,14,129,,2,4,76,11,2,,,21,,,,,2,,,14,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,7,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,
Sm26,,,,,,,2,,,7,,,,,,,,,,,,,,,,,2,45,3,,,,,,,,24,,,,,3,,1542,4246,18,497,354,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,2,4,2,,2,119,,,,,,,,,,6,,,,,,,,,,,,,39,,,,,,,,2,,13,,,,,,,,54,,,,,,,,,,,6,,27,,,,,,48,,,,,12,,,,,,2,,,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,8,8,,,,14,10,,3,,6,2,,,2,102,8,3,7,4,,,,,3,,,,2,,,,2,,,,,4,2,2,,,,,,,,,,,,,,,,,,,,,2,,2,4,,,,,,,,,,4,390,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,28,,,,,,,99,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,
Sm27,,,,,,,,,,3,2,,,,,,,,,,3,,,,,,,,,,,,,,,,727,,,,,,,8,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,15,19,2,,31,59,7,,,3,,,4,2,,,,,4,,,,2,,,,9,5,,,,,4,,,2,8,16,2,28,,,30,28,,,,,,,,72,,3,6,162,,,2,,,,,,,,,,,2,,,,,,2,,98,,5,,62,2,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,3,,,,39,97,2,,3,7,2,7,9,,,,10,,,,,,2,4,,51,,,3,13,6,2,,,77,71,,2,4,46,,,,415,49,13,,4,14,,,,,,,,,,,,,,2,4,,82,12,4,31,,25,137,24,,82,26,122,,256,217,62,525,210,291,34,15,189,,6,,7,,,,,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Sm28,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,4,,1676,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,8,,,,,5,2,4,,4,3,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,7,,,,8,6,,19,,15,,2,,4,357,,,2,,,16,,,,,2,,10,,,,,,,,4,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2,,,,,,44,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,2,176,,107,,,,,,,,,,,2,,8,,,10,,,,,,2,2,,,2,,4,,,,,,,,,91,,,,,,,,,2,7,,,4,5,,,2,,,,21,,11,,,,,,,,2,,,,3,42,54,2,5,,,,6,2,,,2,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,2,2,,,,,,18,4,2,24,664,46,6,2,,93,,2,7,253,38,93,,,,2,2,,,,,,15,26,,4,,3,,,,118,2,,53,291,,,,,,,,,,,,,,,,,,2,,,,,2,2,,7,,2,,,,,2,2,,,,,8,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,34,,,,,,41,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,,,7,,,,,,8,,25,,,32,,,8,,,,,,,,,,,,,,,
Sm30,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,207,19,,,,14,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,12,460,5,3,11,2,,,,,,,27,,28,,,2,,12,2,2,,,2,32,51,,,3,46,,,,,10,,2,,,6,,,,,,,68,,22,,16,,,,,,,7,5,2,14,2,,,,78,16,,9,42,225,274,,,10,2,,216,,,6594,2,2,,,,,,,,,,,4,20,,,,,,,,,,,,,,3,,,,,,,,,4,25,325,,5,94,24,555,75,35,,2,,6,44,25,559,18,,3,3,137,175,2,2,17,,2,,8,4,2,2,4,,5,4,13,30,4,56,43,,110,,,,,,,,,,,,,,,,,,,,,13,,5,,,2,18,2,,,,2,2,4,195,4,77,2,61,3,,,,8,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,2,14,2,45,,,2,2,2,,14,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,34,,,,,,,,,,,,,,,,,,,,,,,
Sm31,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,22,,,,,4,,13,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,4,4,9,,,34,2,24,4,,,,,8,,,,,,2,,,,,,,,3,,,2,,,,,,,19,25,10,111,,,,,4,,,,,2,2,5,,30,2,245,,,15,,,,,,,,,,,,,,,,,2,,37,2,4,,2,,,,,8,,,,,,,,,,,,,2,,,,,,,,,,701,,,,,,,,,26,,,,24,144,3,2,4,9,4,10,21,,5,,10,,,,,,6,4,,66,,,,,182,,,,32,16,,2,6,954,2,,,122,13,14,,55,169,,,,,,,,,,,,,,,3,,1555,,4,16,,26,9,1184,,328,84,678,,425,399,8,600,37,982,55,13,15,2,38,2,,,,2,2,5,26,44,,2,,,,,,,,,,,,,2,,3,,,,,,,,,,5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,2,,,,,3,3,,,,,,,,,,,,,,,
Sm32,5,,,,,,,4,,,,2,,,,,,,,,,,,,,14,4372,,7994,2,255,1912,2,980,,,24,630,2,5,,,1488,,,,11,,,,,,,,17,30,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,18,26,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,2,7,,,3,11,,,,2,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,61,2,,,2,,,13,,,,2,,,,2,,,,,2,,,,34,,,,12,35,2,,2,,5,33,4,216,8,,23,23,,,,,,,21,,,,,,,,,,,,,2,46,3,2,,,126,,,2,6,,,,2,,,,2,6,151,12,77,,,2,4,,23,,,4,5,,2,,,,10,,5,,,,2,21,,,,7,2,,3,,,10,,575,9,,,,,,,,,,,,,,,5,9,8,16,9,161,,,4,59,,4,2,30,25,,2,3,,21,,19,10,19,3,168,9,,399,42,2,14,2,,10,8,3,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,6,,,,,,2,,2,,,3,,,,,,,,,,,,
Sm33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,42,25,5,40,,2,,5,,,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,2,,,,,,,,,,,,,16,,,,,,,17,,,,19,2,79,,88,24,,,,,2,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,11,30,,,,,,,2,,8,168,93,10,76,,213,,27,5,425,20,104,,,,,45,,,,,,,6,,4,36,2,,,2,3,,,6,58,,,,,,,,,,,,,,,,,,45,,,2,,15,,,7,,6,,,2,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,3,,,,,,,,,,,,,,,,,,,,
Sm34,,,,,,,,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,,4,4,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,4,24,2,,,,52,8,,,,,,,,,,10,,,,,,,,2,,,,,4,,,9,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,8,,2,2,59,4,6,5,,,2,2,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,2,2,4,,,,26,18,126,5,,2,87,,6,,2,2,283,446,132,,4,,,40,15,14,,66,13,,,2,135,88,25,2,2,34,20,35,,,,,,,,,,,,,,,,,,,,,,27,2,,2,,,,2,,,,29,6,,6,,5,2,,,,44,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,8,,,,2,,,2,22,,,,,,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Sm35,2,,,,4,,,9,,12,,2,,,,,,,,2,,,,,,,,,3,,,,,,,,14,21,,,,,,7,38,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,4,,,17,15,15,2,,,,,,,,,18,,8,,,,2,,,,,,,9,,,3,,3,,,67,,29,,,,,,,,,,,,,,34,29,27,,,,,,,,,,,,,,7,,32,,,,3,8,,,6,,,,,,5,,,6,,,,,,,2,,,2,,,,,,,,,,,,,,,,2,,,,,,,,494,904,,,,7,48,31,2,,,,2,,22,,,,6,8,9,2,,,,17,59,,,,13,47,,,55,133,23,,,36,32,9,,,,,,,,,,,,,,,,,,,,2,,353,7,,19,,5,,4,2,227,,97,12,28,170,4,6,6,2,17,2,6,3,,,,,,12,7,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
