from type -> to type,connections,synapses
Mi9 -> Tm8a,731,2931
Tlp5 -> Li32,27,2931
Dm17 -> Mi1,844,2931
Tm5b -> Li09,543,2930
Mi2 -> T3,811,2929
LPC2 -> TmY14,432,2926
LC12 -> cL21,320,2919
Y3 -> Mi4,867,2917
Pm05 -> TmY5a,598,2911
LMa5 -> MLt4,138,2905
Li22 -> LC4,195,2901
LPi14 -> LPi05,84,2894
Pm09 -> Y3,735,2890
Tm3 -> CB0592,621,2889
Tm4 -> Li10,664,2889
LMa1 -> Pm08,277,2881
Mi9 -> Tm27,872,2878
Mi4 -> Dm6,959,2878
Sm09 -> Tm5b,481,2875
TmY16 -> Y1,383,2874
LPi05 -> TmY31,336,2874
cLP02 -> Y12,646,2872
Mi4 -> MeMe_e07,807,2868
Y3 -> LLPt,516,2868
T2 -> LC21,931,2867
Mi10 -> TmY11,651,2867
CB0592 -> Pm10,48,2865
Mi13 -> T2,919,2861
T5a -> Y12,888,2859
Pm06 -> Tm4,1061,2851
Tm5f -> LC13,811,2849
TmY4 -> Li10,591,2849
Mi9 -> Lawf1,877,2838
Sm08 -> Sm15,343,2829
L4 -> Dm13,962,2828
MeTu1 -> MeMe_e02,363,2826
Li17 -> Tm5f,938,2825
Tm16 -> Y3,554,2819
aMe17c -> Dm12,213,2818
Tm3 -> Li26,991,2815
T5c -> LPLC1,844,2813
LPi09 -> Tlp1,365,2805
Sm38 -> MeTu1,230,2798
Pm03 -> TmY15,537,2796
Mi1 -> CT1,619,2790
Li21 -> Tm21,702,2790
T4a -> Mi9,910,2786
Tm27 -> T2,844,2785
Mi9 -> Tm4,877,2781
Li32 -> TmY31,154,2780
TmY9q -> TmY5a,879,2779
Dm12 -> Tm16,633,2777
LPi10 -> T4b,960,2775
TmY9q⊥ -> LC15,484,2773
Tm2 -> Tm27,916,2771
TmY15 -> T5b,874,2767
Tm3 -> LMa3,704,2767
Y3 -> MTe54,609,2766
Tlp1 -> T4d,905,2764
MeTu1 -> Sm15,387,2753
T4b -> TmY15,840,2752
T4c -> TmY15,866,2751
Y1 -> LPi14,162,2747
T4a -> Y12,886,2745
LMt2 -> LMa2,222,2744
Pm04 -> Mi13,584,2743
Tm27 -> Tm27,839,2741
Pm07 -> Pm06,145,2741
Mi14 -> Tm1,873,2738
LMt2 -> LC11,385,2734
T5d -> VSm,624,2733
T5d -> T5d,1022,2730
TmY9q -> TmY9q,633,2729
LT33 -> T5a,608,2727
T4a -> HSN,343,2726
Mi4 -> MeMe_e08,830,2719
TmY5a -> MTe54,800,2719
LPi14 -> Am1,2,2713
T2a -> LC13,759,2704
cMLLP02 -> CT1,2,2701
Li21 -> T3,780,2696
Tm20 -> LPLC2,762,2695
LMa2 -> LPLC1,240,2694
Mi15 -> Sm30,657,2693
Tm21 -> LT61b,555,2691
TmY31 -> Y1,411,2690
Dm19 -> Tm4,961,2683
Tm3 -> LC4,895,2678
Tm5a -> Li33,219,2676
Pm04 -> Tm1,788,2676
T5c -> CT1,658,2672
Tlp4 -> LPLC1,268,2671
TmY15 -> T5a,828,2670
Tm1 -> Tm25,761,2667
Sm42 -> Sm07,153,2664
Tm1 -> Lawf2,767,2654
Pm07 -> T2,731,2651
Pm01 -> Pm02,524,2644
Dm18 -> T2,917,2632
Dm10 -> Dm2,781,2630
TmY5a -> T2a,830,2628
Tm3 -> Mi1,946,2626
Tm2 -> L2,565,2625
Pm08 -> Mi14,535,2621
Tm20 -> MTe51,649,2618
Pm09 -> TmY15,489,2617
MeMe_e08 -> Y3,768,2617
Y3 -> Li05,525,2616
LT42 -> TmY5a,450,2613
T3 -> LMa5,696,2607
LPi14 -> LPi07,102,2603
Tm7 -> TmY31,459,2602
Tlp4 -> T5c,914,2588
Mi9 -> MLt2,588,2586
Pm03 -> Pm08,542,2585
T2 -> Tm21,824,2582
TmY14 -> Mi13,536,2582
Tm8a -> Li33,119,2572
Tm16 -> Pm10,492,2569
TmY3 -> LC12,602,2568
Tm3 -> LPLC1,570,2564
TmY9q⊥ -> TmY9q⊥,749,2563
TmY9q -> Li27,245,2559
Tm20 -> LCe01b,676,2558
Mi14 -> Tm4,891,2552
LPi04 -> Y11,308,2550
Tm4 -> Tm4,997,2549
Dm2 -> Sm21,856,2547
Tm4 -> TmY16,781,2547
Dm16 -> T2,735,2547
LPi14 -> LPi10,42,2547
TmY15 -> T5d,787,2546
Li33 -> LC17,142,2543
Li16 -> LC11,294,2542
Y3 -> Tm7,552,2535
cM05 -> C3,540,2526
Sm07 -> Sm41,151,2524
LPC2 -> Y3,490,2523
Mi14 -> Tm25,673,2518
Dm8a -> Tm5d,383,2514
TmY5a -> Li10,700,2511
T5c -> Y3,884,2510
Tm27 -> LC22,714,2509
Tlp14 -> Y3,628,2507
TmY10 -> Li33,217,2507
MLt1 -> Tm20,684,2501
LT33 -> T5b,575,2497
CB0592 -> C2,622,2496
LC9 -> LC14a1,158,2490
DCH -> TmY14,111,2489
T4b -> LPLC1,736,2488
T2a -> LC14b,555,2486
L5 -> TmY14,643,2486
Y3 -> TmY4,634,2485
Mi2 -> Tm4,804,2482
Pm03 -> Tm27,861,2481
LT56 -> LC9,92,2479
Dm20 -> Mi9,959,2478
DCH -> T4a,423,2470
Mi1 -> TmY15,718,2469
Mi14 -> Pm09,476,2469
Li13 -> Tm7,533,2467
LMa4 -> T2a,738,2465
T2a -> Dm3v,962,2463
T1 -> L2,512,2463
Tm2 -> Dm3v,823,2462
Tm5f -> Li17,772,2460
LPi07 -> LPi12,51,2459
T3 -> T2,798,2458
Tm1 -> Dm20,803,2451
T2a -> TmY9q,859,2450
Tm4 -> C3,906,2447
LLPt -> Li05,238,2447
Tm4 -> LMa2,823,2444
TmY31 -> Lawf2,401,2442
Tm20 -> Tm25,780,2437
Mi14 -> Sm32,403,2437
Tm2 -> Y3,807,2435
T3 -> LC12,741,2434
Tm4 -> LPLC4,630,2431
Y11 -> T4a,830,2428
Sm08 -> Dm8a,373,2427
Li10 -> Li12,225,2426
T5d -> LT33,580,2419
T3 -> Pm07,771,2417
Pm02 -> Pm09,454,2414
Mi9 -> MLt5,470,2411
TmY11 -> Li16,475,2410
Sm21 -> Dm4,255,2410
Tm36 -> TmY5a,745,2406
LPi07 -> TmY9q⊥,401,2405
Pm07 -> TmY15,297,2401
TmY5a -> Tm37,710,2395
Sm42 -> Tm35,60,2395
L5 -> Tm27,742,2392
Pm01 -> Tm27,797,2388
Pm05 -> Tm1,597,2383
LC14a1 -> LMa1,48,2383
Tlp1 -> LPLC1,266,2380
TmY5a -> LC20a,494,2378
Dm20 -> Mi10,694,2368
Tm4 -> LMa4,630,2365
LT56 -> LC17,142,2362
Dm8b -> Sm01,359,2361
Tm7 -> Sm40,355,2354
TmY11 -> Li32,174,2353
LT33 -> T5c,570,2352
Dm6 -> Mi1,830,2349
Dm17 -> Tm1,747,2348
TmY5a -> TmY31,635,2346
TmY9q⊥ -> Li10,588,2346
LMa3 -> T2a,651,2346
VCH -> TmY14,139,2346
Tm20 -> Li01,731,2338
Sm07 -> MTe01b,466,2337
Pm09 -> Pm11,206,2336
Dm6 -> Dm1,198,2335
Dm10 -> Dm18,552,2333
TmY31 -> LC13,360,2331
LMa4 -> LC11,326,2327
T2 -> Lawf2,857,2322
TmY15 -> Mi4,720,2320
T2a -> Tm5f,737,2320
T5c -> LT33,600,2317
LT39 -> Li33,1,2316
VCH -> T4a,409,2316
Mi2 -> Mi1,714,2315
Sm15 -> Sm06,284,2314
TmY31 -> LPLC4,345,2313
Dm17 -> L4,729,2313
Tm20 -> cM07,489,2312
Tm4 -> MLt3,768,2305
Mi9 -> Tm3,679,2303
TmY11 -> Mi4,744,2300
C3 -> T4a,735,2290
Y3 -> LC28a,496,2288
T5d -> LPLC1,662,2287
Tm9 -> Dm3v,780,2286
TmY9q -> LC15,457,2281
R8 -> Tm20,420,2280
LPi13 -> TmY15,124,2280
TmY15 -> T5c,774,2279
T5c -> TmY4,906,2278
TmY3 -> TmY11,696,2271
Tlp1 -> T5d,765,2269
Tm5e -> LC16,476,2267
Tm2 -> T2a,774,2265
Tm25 -> Pm10,639,2264
TmY11 -> LLPt,373,2263
LC11 -> LC17,427,2263
Mi1 -> Mi1,672,2262
LPi11 -> LPi09,189,2260
MLt3 -> Tm4,737,2258
Li17 -> T2,801,2256
Li33 -> Li12,21,2254
Tm33 -> Tm5f,697,2253
Tm5e -> LPLC2,484,2250
Sm08 -> Dm8b,369,2245
Pm07 -> LMa5,121,2245
LPi13 -> LPi11,27,2245
Dm10 -> MLt3,491,2241
Y3 -> Lawf2,539,2241
L5 -> Mi15,699,2238
TmY11 -> Li05,363,2237
LMt1 -> LC11,286,2237
Y4 -> Pm09,341,2235
CB0566 -> Dm8a,248,2235
TmY4 -> LPi07,600,2233
LC9 -> LC10a,316,2233
Y3 -> LC20a,349,2231
C2 -> Lai,672,2228
TmY5a -> TmY20,560,2226
Dm3q -> Dm3v,916,2221
cL21 -> T2a,746,2219
Li27 -> LC15,90,2213
Y11 -> LPi09,338,2207
T4a -> TmY14,731,2206
T4d -> TmY4,838,2204
Tm35 -> LC13,317,2201
Lawf1 -> L2,894,2200
Dm3p -> Dm3q,947,2198
TmY5a -> LPi13,468,2197
Dm2 -> Sm01,504,2191
Mi4 -> Dm17,719,2187
Tm27 -> Mi10,758,2186
LC20b -> Li05,215,2186
LT33 -> T5d,549,2185
cL21 -> TmY5a,604,2183
TmY11 -> Tm36,389,2179
Mi4 -> Dm3v,636,2179
Tm21 -> LC28a,661,2169
Sm12 -> MeTu4a,482,2167
Li08 -> Li10,526,2165
cML01 -> Pm09,38,2163
Dm3v -> Dm3q,852,2157
LMt2 -> LMa5,234,2157
aMe17a1 -> Sm07,151,2156
T5d -> CT1,600,2155
Pm04 -> Pm01,377,2152
Tlp1 -> LPi05,214,2151
T2 -> LCe07,394,2147
Mi14 -> TmY3,672,2146
Mi9 -> CT1,534,2143
Sm15 -> Dm2,714,2142
Y3 -> Tm5d,426,2138
Y11 -> T5a,755,2132
LPi07 -> LPi10,279,2132
LPi15 -> T4a,572,2131
TmY10 -> Li10,479,2130
LMa3 -> LC11,215,2128
Tm4 -> MTe52,719,2126
Tlp4 -> TmY15,344,2126
Sm07 -> Sm02,486,2126
LMt3 -> Y4,276,2124
Tm21 -> LMa5,556,2122
cML01 -> TmY15,130,2122
LPT57 -> TmY16,71,2120
TmY5a -> Tm33,555,2118
Tm5a -> Sm31,454,2117
Sm21 -> Dm11,352,2117
LPi14 -> H2,2,2112
Li32 -> TmY20,138,2109
Dm12 -> Lawf1,534,2107
T5b -> LPLC1,678,2102
LMa4 -> LMa5,129,2100
Li05 -> Y4,386,2100
Pm05 -> T2,585,2099
T4d -> VSm,546,2097
Li14 -> T5c,691,2095
MTe52 -> Y3,554,2093
Mi15 -> Sm07,599,2091
Mi15 -> Sm06,574,2091
LC9 -> LC9,363,2087
cL18 -> LPLC4,96,2087
LT37 -> LT52,16,2086
L5 -> Mi2,714,2084
Tm4 -> Lawf2,687,2083
TmY11 -> TmY5a,521,2082
Li27 -> Tm20,530,2081
T3 -> Y3,772,2080
MeTu1 -> Sm06,418,2079
T4b -> VS1,234,2078
MLt1 -> Pm09,233,2078
Dm4 -> Lawf1,306,2078
Tm1 -> MeMe_e08,525,2076
Tm5f -> LC9,546,2074
LLPC2 -> PLP248,106,2073
Tm16 -> TmY11,451,2068
T4b -> Mi9,702,2068
TmY5a -> MeMe_e08,569,2063
Tm8a -> Sm40,208,2060
Mi15 -> Sm03,482,2060
LMa2 -> T3,747,2060
Li32 -> Li30,1,2058
Li14 -> T5b,649,2057
cL14 -> Li01,84,2054
Tm27 -> Pm09,660,2053
Tm16 -> TmY14,399,2051
Y12 -> T5a,733,2046
TmY10 -> Dm3v,758,2044
T5a -> LPLC2,676,2042
Y3 -> LC21,376,2038
Tm5c -> Li10,439,2037
Tm3 -> MeMe_e07,685,2036
Dm12 -> Tm9,690,2033
OA-AL2i1 -> Dm12,108,2032
Am1 -> TmY15,128,2031
Tm1 -> Tm2,542,2030
Li33 -> Li28,2,2029
cL04 -> Tm16,279,2029
Tm27 -> LCe07,427,2026
Tlp1 -> TmY15,340,2026
Mi9 -> Pm10,730,2022
MLt4 -> Pm10,194,2020
Tm21 -> Pm09,669,2019
Mi10 -> Pm10,482,2016
TmY15 -> Tm27,642,2012
Tm5e -> Dm12,534,2010
Li29 -> Y3,291,2010
Dm17 -> TmY3,498,2004
Dm15 -> Dm19,524,2003
TmY15 -> LC11,449,2001
Tm5d -> LT58,165,2001
LPC1 -> LPi10,376,2000
LPi05 -> Y3,426,1994
LPi14 -> Tlp1,128,1989
C3 -> T4b,652,1986
Dm8a -> Dm2,362,1986
Y11 -> LPLC1,314,1984
Tm5a -> Tm5f,600,1983
T5b -> VS1,247,1982
MLt4 -> Tm16,326,1980
T5b -> T2,789,1978
TmY11 -> LC12,398,1977
Sm07 -> Sm15,360,1976
LPi15 -> LPi07,51,1974
LLPC1 -> PLP163,112,1974
LT58 -> Tm5a,212,1974
Tlp1 -> LLPt,293,1969
Tm2 -> LMa5,553,1965
Li09 -> LC22,215,1959
DCH -> T5a,406,1954
TmY11 -> Li11,425,1953
Tm5d -> Li09,411,1951
Am1 -> Tm2,524,1951
TmY10 -> Dm3p,782,1948
Tm3 -> Li10,548,1947
LC9 -> LT82a,150,1941
Tm5e -> Tm5d,413,1940
Dm19 -> Dm14,94,1939
Tm5f -> Pm14,433,1937
TmY4 -> TmY4,570,1935
Tlp1 -> LPi11,197,1934
Sm32 -> Dm15,434,1933
LPi07 -> T5d,504,1931
Tm5c -> Pm05,315,1930
LLPt -> TmY20,295,1930
L3 -> Dm3v,600,1927
Sm02 -> MTe33,186,1927
LLPt -> Li02,181,1926
TmY11 -> Li06,383,1923
Li21 -> LC17,241,1921
cL21 -> LC17,272,1919
L4 -> Mi9,654,1918
T2 -> Sm32,692,1917
LMa2 -> LC11,255,1916
LMt2 -> LT83,27,1916
Y3 -> Tm5b,455,1905
Sm42 -> TmY31,154,1903
CB0592 -> Li21,11,1900
Tm5e -> TmY10,424,1894
C2 -> T1,434,1894
Tm5c -> Tm25,484,1893
T4a -> LPLC2,646,1892
LPi04 -> Tlp4,205,1892
T2a -> TmY4,649,1891
LC11 -> cL21,122,1890
Pm04 -> TmY3,543,1889
LLPt -> Li30,35,1888
Tm5e -> TmY15,506,1887
Tm37 -> LC16,361,1886
TmY16 -> Y11,296,1886
LPi07 -> T5c,500,1883
TmY3 -> LPLC4,402,1880
R8 -> Mi1,391,1875
R8 -> R7,307,1874
L5 -> L5,736,1873
TmY5a -> LPLC2,628,1873
Lawf1 -> Tm3,707,1872
Tm34 -> TmY5a,469,1870
Tm4 -> Mi4,686,1863
Li33 -> LC6,60,1863
Tm2 -> LC12,625,1862
LPLC1 -> LT83,72,1862
LT52 -> LC10d,208,1862
Tm5e -> TmY31,433,1856
MTe52 -> Tm16,378,1856
Tm7 -> Li10,358,1855
LPi05 -> TmY20,285,1853
Pm12 -> LMa5,68,1853
TmY31 -> Li05,363,1849
T5d -> LPT27,217,1849
TmY5a -> Li02,517,1843
TmY9q⊥ -> Y1,507,1843
LMa2 -> LMt1,153,1841
Tlp5 -> LLPt,238,1837
LPT23 -> Y3,341,1837
Tm9 -> Dm3q,675,1836
Y12 -> T4a,637,1835
LPi10 -> LPi05,229,1835
Dm2 -> Sm19,542,1834
LPi10 -> TmY15,403,1833
LMa1 -> Pm03,280,1832
Li13 -> Li06,311,1830
MeTu3c -> Sm30,255,1830
Mi9 -> Tm5e,539,1827
Pm04 -> Mi1,640,1826
LPi14 -> T5b,595,1823
Tm1 -> Mi13,566,1820
Sm06 -> Tm8a,356,1818
Li21 -> T2a,605,1817
Sm41 -> Tm7,211,1816
Tm37 -> LC6,313,1814
Tm9 -> Dm3p,657,1813
Y4 -> Pm04,226,1813
Li28 -> Tm5f,512,1813
T4a -> Tlp5,631,1812
Li17 -> T3,715,1812
LMa3 -> LMa5,77,1812
LC18 -> LMt1,332,1812
Y3 -> TmY10,462,1809
TmY11 -> LPLC4,323,1808
TmY20 -> TmY31,341,1805
TmY10 -> Li31,196,1805
Y3 -> TmY11,422,1804
Y3 -> LLPC3,420,1803
cL08 -> LMt3,18,1798
Tm5d -> Sm41,169,1795
LMa1 -> Pm01,306,1795
Li31 -> LC18,91,1787
Li31 -> LMt1,23,1784
TmY3 -> Tm25,576,1782
TmY5a -> LC22,497,1782
Sm02 -> Tm37,429,1781
Pm04 -> Y3,483,1779
LLPC3 -> LPi11,204,1778
MeMe_e01 -> Sm07,237,1776
T5b -> TmY14,600,1773
Mi9 -> Pm03,648,1772
Tm5a -> LC10c,411,1771
R7 -> R8,304,1771
TmY31 -> Y12,378,1767
TmY5a -> Li11,575,1764
LT56 -> LMa1,28,1764
TmY31 -> TmY9q,394,1763
TmY10 -> Dm3q,716,1762
LPi13 -> Y3,256,1762
Sm02 -> Sm36,400,1761
Sm04 -> MTe16,142,1761
Tlp14 -> TmY15,372,1760
MLt4 -> Pm14,79,1759
Dm8a -> Sm19,298,1757
Pm05 -> MTe54,220,1756
TmY20 -> TmY5a,499,1755
TmY9q -> Y11,467,1755
LLPt -> LPi05,382,1755
DmDRA1 -> MeTu2a,246,1754
Tm1 -> Dm2,429,1750
T4c -> TmY14,617,1745
Tm25 -> LC15,474,1745
TmY9q -> Li10,425,1743
TmY5a -> LC21,514,1743
cM17 -> Mi4,410,1740
Sm42 -> Pm05,75,1739
Li14 -> T5d,598,1739
Dm2 -> Tm7,566,1738
Sm09 -> Dm8a,377,1738
Y12 -> TmY15,365,1737
Tlp1 -> TmY16,309,1729
LPC1 -> PLP163,81,1727
TmY5a -> Pm09,586,1725
Tm4 -> MeMe_e08,553,1722
LT11 -> TmY15,123,1720
Tm3 -> LT33,448,1717
Mi15 -> aMe19b,362,1715
Tm35 -> Li10,273,1715
Li24 -> LPLC1,128,1711
TmY11 -> Li17,443,1708
Dm13 -> Tm4,619,1708
Li33 -> Tm4,520,1708
Dm8a -> Tm5f,385,1706
LPi14 -> Tlp4,96,1706
Tm4 -> T2a,618,1704
Dm3v -> Dm3p,702,1703
Sm21 -> Dm8b,480,1703
MC65 -> Sm12,178,1700
CT1 -> Mi1,471,1699
Y12 -> LPi14,179,1698
Tm5c -> Sm06,412,1698
Sm07 -> Sm01,331,1696
TmY9q⊥ -> Li13,388,1695
Tm8a -> Tm16,379,1694
Lai -> R1-6,633,1693
LPi09 -> VSm,80,1691
MLt1 -> Y3,376,1690
Dm6 -> Mi14,325,1689
VCH -> T5a,360,1689
Tm3 -> Lawf1,556,1686
Tm35 -> TmY5a,403,1685
TmY9q -> Li13,364,1683
Mi4 -> Tm5b,435,1683
TmY31 -> LPi10,412,1681
Pm04 -> T4b,586,1681
TmY31 -> Li32,147,1677
TmY31 -> LC10d,329,1675
Li14 -> T5a,570,1673
LC9 -> LC17,333,1673
TmY3 -> LPC1,392,1671
Sm28 -> DmDRA1,67,1670
Y3 -> LLPC2,437,1669
Tm16 -> Tm5c,475,1668
Mi1 -> Sm05,328,1668
LPi02 -> LPT23,103,1665
LLPC3 -> TmY14,357,1665
Li11 -> Li06,288,1663
Tm5c -> Tm5b,364,1662
R7 -> MeTu3c,399,1662
Li05 -> Y1,309,1661
MLt3 -> Li21,149,1661
Li28 -> LPLC1,132,1661
Dm1 -> Tm21,547,1659
cL04 -> Tm5e,328,1659
aMe17a2 -> Tm5c,211,1659
CB0592 -> Pm12,4,1659
Tm3 -> Dm17,521,1658
Li10 -> Tm32,272,1658
LPi15 -> T5a,484,1658
Tm8a -> Li30,116,1656
Dm16 -> Mi9,507,1655
LT34 -> Li11,30,1655
MeMe_e08 -> Tm4,621,1649
LPi10 -> LPLC1,306,1648
Tm1 -> Dm12,481,1647
Sm15 -> MTe01b,243,1646
Mi1 -> TmY9q⊥,596,1645
Tm21 -> LT1c,400,1645
Tm5a -> Tm5d,330,1645
Tm27 -> LMt1,583,1644
Tm3 -> Tm5e,542,1642
T4d -> LPLC1,535,1639
TmY9q -> TmY9q⊥,561,1639
Tm5a -> Li06,387,1638
Sm08 -> Tm7,429,1637
T5c -> LPT50,309,1636
Tm27 -> LMa5,457,1634
Tm5d -> Tm31,365,1632
Tm20 -> Tm9,504,1631
Tm21 -> LC18,586,1631
MeMe_e07 -> Dm10,514,1630
T2 -> LMt3,561,1628
Sm12 -> Sm15,217,1627
Pm05 -> Pm08,323,1627
cL04 -> TmY31,262,1625
Y12 -> LPLC1,319,1623
C3 -> Tm9,471,1623
LPLC1 -> LMa1,178,1621
LMa2 -> LMa3,110,1620
Tm21 -> LMt1,623,1617
TmY14 -> Pm11,395,1617
Li26 -> LMa2,76,1617
TmY3 -> LLPC1,443,1615
Tm8a -> LT52,258,1614
Tm16 -> Pm14,223,1613
Tm5c -> Sm41,249,1613
Pm03 -> Pm05,341,1607
LPi05 -> Tlp4,199,1607
LPi13 -> T5d,473,1606
C2 -> Dm9,419,1605
Tm8b -> Li33,59,1604
Y1 -> Pm05,206,1603
Mi14 -> LMa5,236,1603
cM15 -> Dm2,397,1602
Pm04 -> Tm2,588,1599
T5a -> TmY9q⊥,600,1598
TmY15 -> LMa5,244,1596
cM15 -> Pm14,2,1595
L4 -> MLt1,524,1594
cL22b -> LC10b,30,1594
LPi09 -> Y12,338,1593
Mi15 -> Sm39,335,1591
Tm1 -> Mi4,460,1590
Y4 -> LC11,306,1588
Li28 -> LC11,119,1588
Y3 -> Li13,432,1586
Pm10 -> T2a,617,1585
L2 -> C3,444,1580
Sm26 -> Dm8a,383,1579
LC28a -> LC10b,166,1576
T5b -> H1,416,1574
Mi2 -> Tm27,497,1570
LC28a -> Li10,306,1569
Y3 -> TmY9q,466,1563
Tm3 -> LPLC4,415,1561
TmY10 -> Dm20,526,1561
Mi1 -> Tm1,460,1560
LC10d -> LT52,214,1560
TmY15 -> LLPC1,318,1559
Pm08 -> Pm02,397,1556
Sm31 -> Tm20,567,1555
C3 -> Dm3q,519,1554
Y11 -> LPi14,133,1551
Li26 -> LMa4,108,1548
Y4 -> LMt1,294,1547
Tm9 -> TmY9q,536,1547
L5 -> Sm05,360,1546
T2a -> Tm3,571,1545
LPT57 -> LPi10,19,1545
LLPt -> LPLC4,283,1544
LC18 -> cL21,163,1544
Dm14 -> Tm4,516,1542
Li05 -> Li10,313,1541
MeMe_e07 -> Tm3,605,1541
OA-AL2i2 -> TmY5a,486,1536
Y11 -> TmY15,350,1535
Tm5f -> Tm5e,456,1534
Sm32 -> Dm6,186,1534
Mi15 -> Sm08,383,1533
TmY5a -> TmY15,510,1533
Tm5e -> Li25,339,1533
MeMe_e07 -> Dm12,409,1532
T4d -> LPT27,225,1531
Li17 -> LC11,346,1529
TmY5a -> Sm36,488,1525
Mi4 -> Tm5f,475,1523
LPi02 -> LPC1,310,1523
LPi09 -> VS2,36,1523
Sm05 -> Mi4,330,1523
Lawf1 -> R1-6,695,1522
LT39 -> Li30,1,1520
TmY10 -> LC10b,338,1519
L2 -> Mi4,437,1518
Li13 -> TmY20,348,1516
T2a -> Dm3p,633,1515
TmY11 -> LMa4,300,1515
Sm42 -> MTe01a,46,1515
LMt3 -> Pm12,36,1511
Tm2 -> Mi4,468,1510
TmY11 -> Sm42,169,1509
L5 -> TmY5a,535,1508
Pm03 -> Tm4,596,1506
LPi11 -> LPi04,138,1505
Y3 -> Li06,420,1504
Tm27 -> Pm14,399,1504
Dm10 -> Mi15,480,1503
LPT53 -> LPi10,17,1501
Tm5d -> Li12,320,1498
LMa5 -> Li17,239,1498
Tm5f -> TmY5a,507,1497
Pm08 -> Tm27,574,1493
Dm15 -> L4,583,1491
LPi09 -> LPi11,170,1490
Tm5b -> MTe35,140,1488
LPi07 -> T4c,446,1487
LPi07 -> T4d,429,1484
Sm42 -> Sm41,1,1482
Tm5e -> Lawf1,413,1480
Y3 -> LPi07,365,1480
T4d -> LPT45_dCal1,196,1480
Tm4 -> LPLC2,509,1479
Tm5d -> LTe26,169,1479
Dm10 -> Dm20,545,1478
LMt1 -> TmY5a,556,1477
T4d -> VS1,200,1476
TmY4 -> LLPt,366,1475
Y1 -> LMa5,170,1473
MLt4 -> Pm08,233,1473
LC9 -> LT66,91,1473
Sm15 -> Sm08,273,1470
cM16 -> Sm32,28,1470
LMt1 -> LC21,228,1469
Tm5c -> Mi2,455,1468
Li02 -> Li30,49,1468
LMa4 -> TmY14,260,1466
T4b -> H1,403,1465
Tm3 -> Li01,436,1465
LMt3 -> Pm13,18,1465
Li16 -> T2,544,1464
T2a -> LT82a,475,1463
LMa4 -> LC17,325,1463
Tm5b -> LC17,380,1463
LPi05 -> Tlp1,209,1463
TmY11 -> LMa5,306,1462
Dm17 -> Tm4,513,1462
LPi14 -> LPi15,2,1462
MeMe_e08 -> LMa2,143,1462
MLt3 -> LPLC2,348,1458
Mi1 -> TmY9q,521,1457
TmY9q⊥ -> Li05,422,1456
LPi05 -> LPLC4,172,1455
aMe17b -> Dm8a,287,1454
T3 -> LC15,496,1452
Li05 -> Li13,228,1451
TmY10 -> TmY9q⊥,452,1451
TmY11 -> TmY9q⊥,438,1450
C3 -> Pm04,496,1450
Li13 -> TmY9q,433,1450
T2a -> Li10,483,1448
Tm25 -> Li17,486,1444
Mi4 -> Tm1,442,1443
MLt1 -> TmY3,421,1440
Tlp4 -> LPi05,179,1439
Tm20 -> Sm09,529,1437
TmY11 -> Li31,173,1436
Dm11 -> Sm03,161,1435
Sm08 -> TmY5a,447,1433
TmY14 -> Li26,376,1432
Li26 -> T2,551,1430
Tm7 -> Mi10,406,1429
Tm3 -> LMt3,487,1429
Y3 -> Li02,361,1428
cL21 -> LC12,297,1428
Li32 -> TmY5a,392,1427
T5d -> VST2,480,1426
TmY4 -> Li02,320,1423
LC10b -> LC19,94,1421
TmY5a -> Tm36,484,1419
MLt1 -> Mi4,490,1418
Sm06 -> Sm42,80,1417
Li30 -> LC13,70,1414
LMa5 -> LMa1,122,1412
Mi9 -> MeLp1,409,1409
TmY31 -> Li01,300,1408
Tlp5 -> TmY14,323,1406
Pm05 -> Tm8a,225,1406
TmY10 -> TmY9q,433,1400
Sm02 -> Sm02,411,1399
cM16 -> Pm14,2,1396
LLPC3 -> PLP081,100,1395
Tm35 -> Tm8a,335,1394
Tm5b -> Li12,257,1393
Tm3 -> MeLp1,427,1392
L5 -> Tm5e,416,1390
MLt3 -> C3,542,1390
L3 -> MLt1,420,1389
TmY11 -> TmY9q,386,1387
TmY20 -> Li10,301,1384
Sm42 -> Tm32,74,1384
T4c -> Mi9,466,1382
Tlp4 -> LLPt,220,1382
Mi1 -> LMa3,249,1380
Mi9 -> Sm04,266,1380
Y3 -> LMa5,311,1378
LT42 -> Y3,289,1378
LMa3 -> LPLC1,199,1377
T2a -> TmY9q⊥,519,1375
R8 -> Mi15,239,1375
Tm21 -> Pm07,495,1374
Tm2 -> MeMe_e08,476,1372
Pm11 -> TmY5a,477,1372
cL21 -> LC18,171,1371
TmY15 -> LLPC2,326,1369
Dm1 -> Tm2,504,1367
Li18 -> Tm5a,455,1367
cM15 -> MLt4,44,1367
Mi9 -> TmY5a,484,1366
Tm5d -> Sm09,296,1362
T3 -> LMt1,523,1359
Tm2 -> LMa1,401,1359
TmY4 -> LMa4,291,1355
Y3 -> Li17,366,1355
Li13 -> Li13,217,1354
LPLC1 -> LMa2,198,1354
T4a -> Tm27,528,1352
Tm4 -> Mi13,468,1352
Pm05 -> Tm33,207,1351
Li20 -> T3,444,1351
LC20b -> LPLC4,150,1351
Sm09 -> Dm8b,350,1347
LMa2 -> LC4,200,1347
Pm03 -> T2a,552,1346
Sm23 -> MeTu3a,198,1346
cML01 -> TmY5a,336,1346
Tm5c -> MLt3,376,1345
