from type -> to type,connections,synapses
T2 -> Li24,915,3795
Li13 -> Tm5f,939,3788
L3 -> Dm3p,976,3785
Pm14 -> Mi13,412,3784
L2 -> TmY3,957,3779
Lawf2 -> C3,1201,3779
Tm5b -> LC6,510,3756
Dm8a -> Dm9,418,3738
Tm2 -> Dm3p,1188,3733
Tm5d -> Sm40,337,3727
Dm19 -> T1,1220,3724
Pm09 -> TmY5a,998,3720
Pm05 -> Mi2,586,3718
Tm2 -> C3,935,3716
Lawf1 -> T1,1208,3716
T4b -> LPT23,800,3714
T2a -> Y4,1014,3708
Lai -> T1,871,3705
Tm2 -> LMa4,805,3702
Tm1 -> Mi9,681,3701
Pm03 -> Tm21,1205,3701
Sm07 -> MeTu1,781,3699
LPi09 -> LLPC3,375,3682
cL21 -> LC11,122,3670
Mi1 -> MeMe_e08,842,3668
LPi11 -> Y11,294,3653
Pm08 -> Pm03,624,3650
Dm2 -> Dm2,1224,3643
TmY11 -> TmY15,584,3636
L3 -> TmY10,999,3636
Tm3 -> T2a,1190,3628
LLPC1 -> PLP249,109,3625
Mi10 -> Mi10,880,3622
LPT23 -> TmY14,286,3616
Li05 -> Li33,86,3613
T5a -> CT1,688,3609
Pm10 -> T2,994,3606
R7 -> Dm8a,621,3605
T5b -> CT1,719,3596
Tm27 -> Mi4,1040,3582
Tm4 -> LMa3,821,3579
Tlp4 -> T4c,1172,3568
cM15 -> C3,631,3555
Tm5b -> Sm40,405,3552
Tm4 -> TmY3,1246,3548
Pm13 -> TmY16,76,3547
TmY4 -> TmY5a,1009,3537
Tm3 -> Dm6,1073,3526
T2a -> Mi1,1081,3526
Y3 -> Tm20,970,3525
TmY3 -> Y3,813,3524
Dm2 -> Dm10,938,3517
cLP02 -> LPi04,501,3517
T4d -> T4d,1212,3513
MeMe_e08 -> LMa5,260,3506
TmY4 -> Li27,290,3505
Mi9 -> Sm32,1117,3499
T5a -> TmY14,1015,3489
TmY3 -> Pm09,773,3489
Li05 -> LPLC4,360,3487
Dm14 -> T2,983,3481
TmY9q -> Li28,329,3478
TmY9q⊥ -> Li27,280,3475
Li06 -> Li24,220,3472
LPi14 -> TmY4,373,3469
Dm9 -> Mi4,625,3465
OA-AL2b2 -> C2,919,3463
Li17 -> Tm21,1128,3462
LPi15 -> Y11,67,3456
Dm3p -> Dm3v,1335,3445
T4b -> LPLC2,1098,3433
Tlp14 -> T5c,1125,3433
Tm27 -> LT61a,506,3399
L4 -> R1-6,1381,3397
LPi11 -> LPLC2,300,3388
T4d -> CT1,713,3387
Tm20 -> Tm37,918,3385
Mi4 -> T4d,939,3384
TmY4 -> LC15,530,3383
Tm8a -> Sm09,548,3372
L4 -> MLt3,898,3370
TmY20 -> Y3,547,3363
C2 -> Tm1,627,3361
Tm2 -> T3,1019,3356
TmY5a -> Li27,605,3348
Li16 -> T3,1116,3337
T5a -> TmY16,919,3320
Pm03 -> Y3,939,3307
Sm39 -> Mi15,423,3306
Tm2 -> Dm16,913,3302
cM05 -> Tm2,613,3298
Tm2 -> Tm4,1167,3294
T4c -> TmY4,1257,3292
T5a -> HSN,371,3287
Tm20 -> LPLC1,683,3285
T4a -> HSE,473,3281
Pm08 -> Tm4,1238,3281
Tm16 -> Li10,468,3279
T4d -> VS2,357,3277
Tm27 -> LC21,835,3277
C3 -> Dm15,921,3259
Dm2 -> Sm12,984,3249
Tm5e -> Tm4,812,3239
Mi9 -> Tm8b,615,3237
Tm27 -> TmY5a,918,3230
cM15 -> Lawf2,164,3227
LPi09 -> LPi13,56,3218
TmY31 -> LC10b,375,3216
Pm08 -> MLt4,318,3210
TmY31 -> Y11,512,3200
T5d -> VS2,360,3192
TmY14 -> Pm07,397,3192
Dm8a -> Tm5a,380,3190
Dm8a -> Sm20,662,3186
Dm10 -> Tm21,992,3181
LPi15 -> Y12,97,3176
Pm03 -> T3,1125,3172
MLt1 -> L5,732,3171
Li31 -> LC21,62,3164
TmY5a -> Pm12,803,3157
Tm3 -> MTe52,985,3150
LPi07 -> Y1,314,3144
Pm12 -> Pm09,76,3142
Mi10 -> Tm5e,634,3120
T4c -> LPLC1,865,3115
cM05 -> Dm17,4,3114
Pm04 -> Tm27,807,3113
Mi15 -> Mi4,605,3104
TmY5a -> Tlp14,980,3094
Tm2 -> Tm1,623,3088
T4d -> VS3,356,3081
T5c -> T5c,1130,3078
LMa5 -> Pm02,309,3071
LLPC1 -> Nod1,179,3071
aMe4 -> Tm5c,647,3071
L5 -> L2,631,3067
Mi1 -> Mi15,750,3066
Dm18 -> Tm21,976,3065
Tm4 -> LPLC1,674,3063
TmY5a -> Li32,518,3052
T5d -> TmY5a,968,3046
Tm21 -> LPLC1,858,3038
Y3 -> TmY9q⊥,772,3036
OA-AL2b2 -> Mi4,845,3036
LLPt -> TmY14,881,3034
Tm3 -> LMa4,733,3032
LMa2 -> T2,964,3026
